usefulCount,coolCount,funnyCount,tipCount,friendCount,reviewCount,avg_posting_rate,postive_ratio,average_content_similarityBM,reviewer_deviattion,membership_length,rev_duration,pn_ratio,capital_diversity,flagged
0,0,0,0,0,0,0,0,0,0.6612,0.0225,0,0,0.0527,Y
0.0435,0.05,0,0,0.0141,0.0481,0.0226,0.82,0.21,0.1662,0.4494,0.3879,0.4227,0.1546,N
0,0,0,0,0,0.0025,0.0169,1,0.1056,0.4892,0.0449,0.0056,0.0722,0.2541,Y
0.0435,0.05,0,0,0.0173,0.0756,0.0201,0.67,0.2258,0.4538,0.382,0.3965,0.0309,0.1112,N
0,0,0,0,0,0.001,0.0339,0.66,0.0581,0.2016,0.1348,0,0.0309,0.1054,Y
0.0435,0.05,0,0.055,0.0213,0.1728,0.0171,0.53,0.2097,0.1662,0.4494,0.4488,0.0206,0.1557,N
0,0,0,0,0,0.0005,0.0169,1,0.1795,0.2016,0.0787,0,0.0309,0.0913,Y
0,0,0,0.0011,0.0054,0.0621,0.0347,0.55,0.1355,0.1662,0.4382,0.4548,0.0309,0.3899,N
0,0,0,0,0.0074,0.0095,0.0042,0.85,0.1459,0.2016,0.0899,0.0736,0.0412,0.0433,Y
0.087,0.05,0.0357,0.0085,0.2465,0.8753,0.039,0.5,0.302,0.1214,0.5056,0.5232,0.0206,0.1405,N
0,0,0,0,0.0002,0.001,0,0.66,0.0161,0.6612,0.1236,0.003,0.0103,0.1183,Y
0.0435,0.05,0.0357,0,0.0054,0.0155,0.0092,0.5,0.1872,0.1662,0.6067,0.3819,0.0103,0.1698,N
0,0,0,0,0,0.0035,0.0508,0.75,0.1019,0.6612,0.2921,0.0878,0.0309,0.0867,Y
0.0435,0.1,0,0,0.0014,0.0336,0.0287,0.7,0.2133,0.4538,0.7865,0.6902,0.0309,0.1183,N
0,0,0,0,0.0002,0,0,0,0,0.6612,0.3933,0,0,0.1311,Y
0,0,0,0,0.002,0.004,0.0212,0.55,0.0885,0.1214,0.0787,0.0467,0.0206,0.1112,N
0,0,0,0,0,0.0035,0.0056,1,0.1126,0.2016,0.5618,0.1618,0.0928,0.192,Y
0.0435,0,0.1071,0,0.0231,0.1262,0.0099,0.65,0.1578,0.1214,0.7079,0.7197,0.0412,0.2412,N
0,0,0,0,0,0.0045,0.0073,0.6,0.0849,0.4892,0.5506,0.3767,0.0206,0,Y
0.087,0,0.0357,0,0.0016,0.0436,0.0145,0.69,0.1461,0.1662,0.764,0.272,0.0206,0.1686,N
0,0,0,0,0,0.006,0.0014,0.38,0.0553,0.6612,0.7079,0.2306,0,0.0878,Y
0.2174,0.05,0.1786,0.0011,0.053,0.1898,0.0309,0.9,0.1884,0.1662,0.3596,0.312,0.3196,0.1932,N
0,0,0,0.0011,0,0.0025,0.0339,0.66,0.0278,0.1918,0.1011,0.0064,0.0103,0.2564,Y
0.087,0.1,0.0357,0,0.0102,0.0881,0.0285,0.7,0.1655,0.4538,0.6629,0.5987,0.0722,0.144,N
0,0,0,0,0,0,0,0,0,0.1918,0.191,0,0,0.1101,Y
0.1304,0.05,0,0,0.0034,0.0145,0.0122,0.8,0.1561,0.1662,0.9888,1,0.0412,0.1956,N
0,0,0,0,0,0.004,0.1356,0.77,0.1502,0.0958,0.191,0,0.0206,0.082,Y
0,0,0,0,0.0046,0.016,0.0054,0.75,0.1563,0.1214,0.4944,0.4757,0.0619,0.1522,N
0,0,0,0,0,0.0075,0.1186,0.62,0.3526,0.3287,0.0112,0.0004,0.0103,0.0902,Y
0.3913,0.1,0.0714,0,0.0014,0.032,0.0087,0.55,0.2047,0.409,0.5618,0.4432,0.0206,0.1311,N
0,0,0,0,0,0.0005,0.0169,0.5,0.0179,0.3287,0.0337,0,0.0103,0.1276,Y
0.0435,0,0,0,0.009,0.1017,0.0512,0.69,0.2481,0.4538,0.3258,0.2534,0.0619,0.1253,N
0,0,0,0,0,0.002,0.0113,0.6,0.1399,0.3287,0.0787,0.0553,0.0103,0.0867,Y
0.1739,0.15,0.1071,0.0032,0.0225,0.0491,0.0035,0.81,0.1829,0.1214,0.7191,0.6917,0.1649,0.1628,N
0,0,0,0,0,0,0,0,0,0.3287,0.0562,0,0,0.1534,Y
0.1739,0.15,0,0.3598,0.2164,0.3731,0.0149,0.68,0.2283,0.4538,0.6292,0.6409,0.0619,0.1347,N
0,0,0,0,0,0,0,1,0,0.5341,0.0562,0,0.0206,0.2037,Y
0.1304,0.15,0.1786,0,0.0225,0.0656,0.0088,0.5,0.1538,0.1214,0.6517,0.6371,0.0206,0.1335,N
0,0,0,0,0,0,0,0,0,0.3287,0.0787,0,0,0.1651,Y
0.1739,0.2,0.1429,0,0.01,0.0436,0.0162,0.62,0.189,0.4538,0.5843,0.4701,0.0309,0.1628,N
0,0,0,0,0,0,0,0,0,0.3287,0.0674,0,0,0.1698,Y
0.1739,0.25,0.2857,0.0032,0.009,0.1883,0.011,0.59,0.1474,0.1662,0.8764,0.8834,0.0206,0.2084,N
0,0,0,0,0,0,0,1,0,0.8217,0.0787,0,0.0206,0.1101,Y
0.2609,0.25,0.0357,0.0011,0.0265,0.0826,0.004,0.63,0.1795,0.1662,0.5281,0.5277,0.0309,0.1686,N
0,0,0,0,0,0.0015,0,0.5,0.1279,0.3287,0.191,0.1046,0.0103,0.1475,Y
0,0,0,0,0,0.0015,0.0508,1,0.2132,0.4538,0.0337,0,0.0515,0.2377,N
0,0,0,0,0,0.0005,0.0169,0.5,0.0108,0.5341,0.1573,0,0.0103,0.2389,Y
0,0,0,0,0,0.009,0.0113,0.5,0.2028,0.6966,0.1461,0.0721,0.0103,0.1393,N
0,0,0,0,0,0.0025,0.0847,0.66,0.0617,0.3287,0.2697,0,0.0103,0.1721,Y
0,0.05,0,0.0635,0.0143,0.0165,0.0311,0.82,0.174,0.1662,0.382,0.3453,0.0928,0.0937,N
0,0,0,0,0,0.0045,0.0678,0.8,0.1146,0.5341,0.3596,0.0688,0.0309,0.2564,Y
